ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,ip_proto
1767938792.628859,CddC392ID0MIDGCOU1,192.168.1.1,33237,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,147,0,0,,17
1767938793.857524,CYOhZQ1xDmeigEq9sc,192.168.1.1,47403,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,4961,0,0,,17
1767938794.779252,CmiROLMcVdhDXSI49,192.168.1.1,58776,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,147,0,0,,17
1767938845.620473,C54Mn83KZq3CgSKsli,192.168.1.37,5353,224.0.0.251,5353,udp,dns,,,,S0,T,T,0,D,1,492,0,0,,17
1767938845.620623,CPltny3mcjXiL7L4t3,fe80::34b1:aeff:fe84:3fea,5353,ff02::fb,5353,udp,dns,,,,S0,T,F,0,D,1,512,0,0,,17
1767938796.107710,C18Ljx1zRn1Kz2MF8,192.168.1.1,50401,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,4961,0,0,,17
1767938797.031880,Cigf844CXGtY79M4nc,192.168.1.1,36424,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,147,0,0,,17
1767938847.517491,CQxHaJ25tDgmP1NTdg,192.168.1.34,5353,224.0.0.251,5353,udp,dns,0.925069,871,0,S0,T,T,0,D,7,1067,0,0,,17
1767938847.522248,CGBKH43mecz5NTnGI1,fe80::7bb:73d7:8a01:76e1,5353,ff02::fb,5353,udp,dns,0.931200,1385,0,S0,T,F,0,D,8,1769,0,0,,17
1767938798.261214,CZf0bq1hYXgS4SatM1,192.168.1.1,41196,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,4963,0,0,,17
1767938799.182261,C5isKx1gfzH64A5sk5,192.168.1.1,40265,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,147,0,0,,17
1767938800.411873,CsASSX2S24nf4fJfoc,192.168.1.1,33471,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,4962,0,0,,17
1767938801.332935,Cq6zGs1jiJPsBVxIze,192.168.1.1,58833,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,147,0,0,,17
1767938802.566691,Cpk1MC1GOXNkAojbta,192.168.1.1,46714,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,4963,0,0,,17
1767938803.483126,CtgdAL3qQmk7xPy975,192.168.1.1,40901,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,147,0,0,,17
1767938804.814829,CRjfAB3R2A9ZymHbYe,192.168.1.1,58880,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,4965,0,0,,17
1767938805.633555,C7grb63afWuQljTli6,192.168.1.1,46893,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,147,0,0,,17
1767938806.965256,CUu857rzEENYV3qih,192.168.1.1,38206,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,4963,0,0,,17
1767938847.758067,CB471X2b6gbtvuE8Vf,192.168.1.33,5353,224.0.0.251,5353,udp,dns,5.370681,1330,0,S0,T,T,0,D,8,1554,0,0,,17
1767938807.883436,CwvvEJ2EX2S8rIbt06,192.168.1.1,49778,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,147,0,0,,17
1767938809.112802,CW17YXeMrPalPtNrk,192.168.1.1,55383,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,4963,0,0,,17
1767938810.036982,CMtcRA2jxINq7Ha5V3,192.168.1.1,36824,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,147,0,0,,17
1767938811.266324,CkGv7Q2ZoJl91lgob8,192.168.1.1,49863,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,4961,0,0,,17
1767938812.187347,C7OWft4C3lk00Ys5C8,192.168.1.1,33167,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,147,0,0,,17
1767938813.416727,CWNOFL1C3czjmBgk37,192.168.1.1,49417,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,4963,0,0,,17
1767938814.337807,CDe7GB2LrOlS348Mc7,192.168.1.1,41852,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,147,0,0,,17
1767938815.669286,CMVvsn4Z6g4hFOSSb2,192.168.1.1,36007,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,4958,0,0,,17
1767938816.488005,CTRAgu3auCbKQj9cej,192.168.1.1,49565,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,147,0,0,,17
1767938817.819698,CrNqFa2Qu8eE7Oywf3,192.168.1.1,55681,192.168.1.255,5756,udp,,,,,S0,T,T,0,D,1,4959,0,0,,17
1767938867.894811,CXo2ca3pnoCy5G16og,192.168.1.34,5353,224.0.0.251,5353,udp,dns,,,,S0,T,T,0,D,1,965,0,0,,17
